id,abany,abdefctw,abdefect,abhlth,abnomore,abpoor,abpoorw,abrape,age,anydoc,attend,born,childs,class,cohort,condom,conmedic,consci,degree,doc1,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc2,doc20,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doclist,docsui,educ,fund,fund16,godoc,harmgood,health,hlthinsr,hmo1,hmo2,hmo3,hmo4,hmo5,hmo6,hmo7,hospice,income98,knwnproz,letdie1,marital,natdrug,natdrugy,natheal,nathealy,notreat,nummen,numwomen,painmed,partners,partnrs5,partyid,polviews,proz1,proz2,proz3,proz4,proz5,proz6,proz7,proz8,proz9,prozac,prozfor1,prozfor2,prozfor3,prozkid1,prozkid2,prozkid3,prozslf1,prozslf2,prozslf3,prozslf4,psycdrct,psycfdoc,psyckid1,psyckid2,psyckid3,psycmed1,psycmed2,psycmed3,psycmed4,psycmed5,psycmed6,psycmed7,psycpsyc,pubagncy,race,reg16,region,relatsex,relig,relig16,religid,religkid,reliten,res16,rightref,rincom98,sei,sex,sexfreq,sexsex,sexsex5,size,srcbelt,stress,suicide1,suicide2,suicide3,suicide4,termecon,termemot,terminal,termpain,termpay,termrel,termvig,testdrug,trustsci,usedmntl,usedproz,usepsyc1,usepsyc2,usepsyc3,usepsyc4,useskill,wordsum,wrkstat,xnorcsiz,woman,region4
11,,,,,,,,,29,yes,once a year,yes,0,middle class,1969,not used,only some,only some,high school,disagree,disagree,agree,disagree,disagree,uncertain,uncertain,agree,uncertain,agree,agree,agree,uncertain,disagree,agree,agree,disagree,disagree,disagree,disagree,no,stongly agree,12,moderate,moderate,,,good,yes covered,disagree,not agree/dsagre,agree,not agree/dsagre,agree,agree,strong disagree,stongly agree,$50000 to 59999,no,yes,never married,,about right,,dk,agree,0,6,stongly agree,1 partner,3 partners,not str republican,slightly liberal,not agree/dsagre,not agree/dsagre,disagree,not agree/dsagre,agree,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,yes,dont know,,,mixed,mixed,mixed,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,somewhat likely,somewht unlikely,somewhat likely,mixed,very likely,disagree,disagree,disagree,agree,agree,agree,agree,very likely,no,white,w  sou central,w  sou  central,"yes, in relationship",catholic,catholic,,,not very strong,city gt 250000,stongly agree,$50000 to 59999,21.1,male,weekly,exclusively female,exclusively female,1631,12 lrgst smsa's,,yes,yes,yes,yes,disagree,agree,no,disagree,agree,disagree,vignette d,disagree,,no,no,somewht unlikely,somewht unlikely,very unlikely,somewht unlikely,,6,"unempl, laid off",city gt 250000,Man,South
12,yes,,yes,yes,yes,yes,,yes,41,,2-3x a month,yes,1,middle class,1957,,only some,only some,high school,,,,,,,,,,,,,,,,,,,,,,,15,fundamentalist,fundamentalist,no,,excellent,,,,,,,,,,$75000 to $89999,,,married,about right,,too little,,,0,0,,no partners,no partners,strong democrat,liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,w  sou central,w  sou  central,,protestant,protestant,other,,strong,town lt 50000,,$30000 to 34999,76.400002,female,not at all,,,1631,12 lrgst smsa's,,,,,,,,,,,,,,,,,,,,,,0,working fulltime,city gt 250000,Woman,South
13,yes,,yes,yes,yes,yes,,yes,32,,once a month,yes,2,lower class,1966,not used,,,high school,agree,agree,agree,disagree,agree,agree,agree,agree,disagree,agree,agree,uncertain,agree,uncertain,agree,uncertain,uncertain,disagree,uncertain,disagree,,agree,14,fundamentalist,fundamentalist,,,excellent,no not covered,agree,strongly agree,disagree,disagree,agree,agree,agree,agree,$25000 to 29999,no,yes,divorced,too little,,about right,,agree,2,0,stongly agree,1 partner,1 partner,not str democrat,moderate,cant choose,agree,agree,agree,agree,agree,agree,disagree,agree,yes,5,,,very unlikely,very unlikely,very likely,strong disagree,strong disagree,strong disagree,strong disagree,somewhat likely,somewhat likely,very unlikely,very likely,very likely,not agree/dsagre,strongly agree,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,somewhat likely,,white,w  sou central,w  sou  central,"no, no relationship",protestant,protestant,,,somewhat strong,"country,nonfarm",agree,$5 000 to 5 999,76.300003,female,2-3 per week,exclusively male,exclusively male,1631,12 lrgst smsa's,,yes,no,no,dk,agree,agree,yes othr relatve,agree,dont know,agree,vignette a,agree,,,no,dont know,mixed,mixed,dont know,,0,working parttime,city gt 250000,Woman,South
14,yes,not wrong at all,yes,yes,yes,yes,wrong only sometimes,yes,48,,lt once a year,yes,1,middle class,1950,not used,a great deal,a great deal,bachelor,,,,,,,,,,,,,,,,,,,,,,,20,liberal,liberal,no,strongly disagree,excellent,,,,,,,,,,$75000 to $89999,,,married,,about right,,too little,,0,4,,1 partner,1 partner,not str democrat,slightly liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  sou central,w  sou  central,"yes, in relationship",protestant,protestant,none,,not very strong,town lt 50000,,$40000 to 49999,63.200001,male,2-3 per week,exclusively female,exclusively female,1631,12 lrgst smsa's,,,,,,,,,,,,,,strong disagree,,,,,,,,0,working fulltime,city gt 250000,Man,South
15,,not wrong at all,,,,,not wrong at all,,20,,never,no,0,middle class,1978,used last time,a great deal,,high school,,,,,,,,,,,,,,,,,,,,,,,12,moderate,moderate,no,neither agree nor disagree,excellent,,,,,,,,,,$60000 to 74999,,yes,never married,,about right,,too little,,9,0,,2 partners,5-10 partners,independent,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  sou central,w  sou  central,"yes, in relationship",catholic,catholic,,catholic,somewhat strong,town lt 50000,,,32.400002,female,once a month,exclusively male,exclusively male,1631,12 lrgst smsa's,,no,no,no,no,,,,,,,,,not agree/dsagre,,,,,,,,0,keeping house,city gt 250000,Woman,South
16,no,always wrong,dk,,no,no,almost always wrong,dk,43,,every week,no,5,working class,1955,not used,hardly any,only some,bachelor,,,,,,,,,,,,,,,,,,,,,,,16,,moderate,no,agree,good,,,,,,,,,,$20000 to 22499,,,married,too much,,too much,,,0,1,,1 partner,1 partner,"ind,near rep",extrmly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,foreign,w  sou  central,"yes, in relationship",chrsitian,catholic,,catholic,strong,city gt 250000,,$6 000 to 6 999,63.5,male,4+ per week,exclusively female,exclusively female,1631,12 lrgst smsa's,,,,,,,,,,,,,,strongly agree,,,,,,,,0,working fulltime,city gt 250000,Man,South
17,,always wrong,,,,,always wrong,,27,,sevrl times a yr,yes,4,lower class,1971,used last time,hardly any,only some,lt high school,,,,,,,,,,,,,,,,,,,,,,,11,moderate,moderate,yes,neither agree nor disagree,good,,,,,,,,,,$10000 to 12499,,yes,divorced,,too little,,about right,,1,1,,1 partner,1 partner,"ind,near dem",extremely liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,w  sou central,w  sou  central,"yes, in relationship",catholic,catholic,,catholic,not very strong,"country,nonfarm",,$10000 to 12499,37.900002,female,once or twice,exclusively male,exclusively male,1631,12 lrgst smsa's,,yes,no,no,no,,,,,,,,,agree,,,,,,,,0,working fulltime,city gt 250000,Woman,South
18,yes,almost always wrong,yes,yes,no,yes,always wrong,no,34,,once a month,yes,7,upper class,1964,used last time,hardly any,only some,lt high school,,,,,,,,,,,,,,,,,,,,,,,7,moderate,moderate,no,dk,excellent,,,,,,,,,,,,,widowed,,too much,,too much,,0,0,,1 partner,"1 or more, dk #",,conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,w  sou central,w  sou  central,"no, no relationship",catholic,catholic,,catholic,somewhat strong,farm,,,,female,not at all,exclusively male,,1631,12 lrgst smsa's,,,,,,,,,,,,,,agree,,,,,,,,0,keeping house,city gt 250000,Woman,South
19,yes,,dk,yes,yes,yes,,yes,43,no,once a month,yes,0,working class,1955,used last time,a great deal,only some,lt high school,disagree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,uncertain,disagree,agree,disagree,disagree,disagree,disagree,agree,disagree,yes,agree,9,fundamentalist,moderate,,,fair,yes covered,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,under $1 000,,,separated,,too little,,too little,dont know,0,dk,dont know,1 partner,2 partners,independent,liberal,,,,,,,,,,no,,,,,,,,,,,somewht unlikely,somewhat likely,very unlikely,very unlikely,very unlikely,dont know,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,somewhat likely,,other,w  sou central,w  sou  central,"yes, in relationship",protestant,catholic,,,not very strong,50000 to 250000,dont know,under $1 000,28.4,male,2-3 per week,exclusively female,exclusively female,1631,12 lrgst smsa's,never,,,,,agree,disagree,no,agree,agree,agree,vignette f,agree,,no,,very unlikely,very unlikely,very unlikely,very unlikely,cant choose,1,working fulltime,city gt 250000,Man,South
20,no,always wrong,no,yes,no,no,always wrong,yes,28,,once a year,yes,1,middle class,1970,not used,a great deal,a great deal,bachelor,,,,,,,,,,,,,,,,,,,,,,,16,moderate,moderate,no,strongly disagree,excellent,,,,,,,,,,$60000 to 74999,,,married,about right,,too much,,,0,1,,1 partner,1 partner,strong republican,conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  sou central,w  sou  central,"yes, in relationship",catholic,catholic,,catholic,not very strong,city gt 250000,,$40000 to 49999,56.400002,male,weekly,exclusively female,exclusively female,250,"suburb, 12 lrgst",,,,,,,,,,,,,,strong disagree,,,,,,,,0,working fulltime,"uninc,lrg city",Man,South
21,no,,no,yes,no,no,,no,42,yes,every week,yes,3,middle class,1956,not used,a great deal,a great deal,bachelor,agree,agree,agree,disagree,strong disagree,disagree,disagree,agree,disagree,agree,agree,disagree,agree,uncertain,agree,uncertain,disagree,uncertain,disagree,agree,no,strong disagree,16,fundamentalist,,,,excellent,yes covered,disagree,strongly agree,agree,agree,not agree/dsagre,not agree/dsagre,agree,stongly agree,$110000 or over,yes,,married,,too little,,too little,stongly agree,0,1,agree,1 partner,1 partner,not str republican,conservative,agree,agree,agree,agree,agree,agree,not agree/dsagre,cant choose,cant choose,yes,15,,,mixed,somewht unlikely,mixed,disagree,disagree,disagree,disagree,somewht unlikely,somewhat likely,somewhat likely,mixed,somewhat likely,not agree/dsagre,dont know,dont know,agree,agree,agree,agree,somewhat likely,,white,w  sou central,w  sou  central,"yes, in relationship",protestant,protestant,,,somewhat strong,big-city suburb,stongly agree,$110 000 over,73.599998,male,weekly,exclusively female,exclusively female,250,"suburb, 12 lrgst",sometimes,,,,,agree,agree,yes immed reltve,agree,not agree/dsagre,stongly agree,vignette f,1,,no,no,very unlikely,very unlikely,very unlikely,very unlikely,almost all,6,working fulltime,"uninc,lrg city",Man,South
22,,not wrong at all,yes,yes,yes,no,always wrong,yes,72,,every week,yes,2,middle class,1926,not used,,,high school,,,,,,,,,,,,,,,,,,,,,,,14,fundamentalist,fundamentalist,no,neither agree nor disagree,excellent,,,,,,,,,,$35000 to 39999,,no,married,too much,,too much,,,0,several,,1 partner,1 partner,independent,slghtly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  sou central,w  sou  central,,protestant,protestant,evangelical,protestant,strong,city gt 250000,,$15000 to 17499,63.5,male,weekly,exclusively female,exclusively female,250,"suburb, 12 lrgst",,no,no,no,no,,,,,,,,,agree,,,,,,,,0,working fulltime,"uninc,lrg city",Man,South
23,,always wrong,,,,,always wrong,,45,,2-3x a month,no,3,middle class,1953,not used,only some,a great deal,bachelor,,,,,,,,,,,,,,,,,,,,,,,16,moderate,moderate,no,strongly disagree,good,,,,,,,,,,$110000 or over,,no,married,,about right,,too much,,0,30,,1 partner,2 partners,strong republican,conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,e  nor central,w  sou  central,"yes, in relationship",catholic,catholic,,catholic,strong,50000 to 250000,,$75000 - $89999,81,male,once a month,exclusively female,exclusively female,250,"suburb, 12 lrgst",,yes,yes,yes,yes,,,,,,,,,disagree,,,,,,,,0,working fulltime,"uninc,lrg city",Man,South
24,,almost always wrong,,,,,almost always wrong,,79,,2-3x a month,yes,2,middle class,1919,not used,a great deal,a great deal,graduate,,,,,,,,,,,,,,,,,,,,,,,19,liberal,fundamentalist,no,strongly disagree,fair,,,,,,,,,,$60000 to 74999,,yes,divorced,too little,,about right,,,0,8,,1 partner,2 partners,"ind,near rep",slghtly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,south atlantic,w  sou  central,"yes, in relationship",protestant,protestant,liberal,protestant,not very strong,"country,nonfarm",,,83.199997,male,once or twice,exclusively female,exclusively female,23,other urban,,yes,no,no,yes,,,,,,,,,disagree,,,,,,,,0,retired,"suburb, lrg city",Man,South
25,,,,,,,,,81,yes,every week,yes,eight or more,middle class,1917,,only some,only some,bachelor,uncertain,agree,agree,disagree,disagree,disagree,disagree,agree,disagree,agree,agree,agree,agree,uncertain,agree,agree,strong disagree,agree,disagree,disagree,no,,16,moderate,moderate,,,excellent,yes covered,disagree,agree,agree,agree,agree,agree,agree,,$50000 to 59999,yes,yes,widowed,about right,,about right,,,1,0,,no partners,no partners,not str republican,moderate,cant choose,cant choose,not agree/dsagre,agree,agree,cant choose,agree,cant choose,cant choose,yes,3,2,6,dk,dk,mixed,strong disagree,strong disagree,strong disagree,strong disagree,mixed,somewht unlikely,mixed,mixed,very likely,not agree/dsagre,not agree/dsagre,disagree,agree,agree,agree,agree,somewhat likely,,white,middle atlantic,w  sou  central,,catholic,catholic,,,strong,city gt 250000,,,38.400002,female,not at all,,,23,other urban,,dk,no,no,no,agree,disagree,yes immed reltve,agree,disagree,not agree/dsagre,vignette c,1,,no,no,somewht unlikely,somewht unlikely,somewht unlikely,somewht unlikely,,9,retired,"suburb, lrg city",Woman,South
26,no,,yes,yes,no,no,,yes,65,,2-3x a month,yes,3,working class,1933,not used,,,bachelor,agree,uncertain,strongly agree,disagree,disagree,disagree,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,disagree,agree,uncertain,strong disagree,disagree,,disagree,18,fundamentalist,fundamentalist,,,fair,no not covered,disagree,dont know,disagree,dont know,not agree/dsagre,agree,agree,stongly agree,,yes,no,married,about right,,too much,,stongly agree,0,2,stongly agree,1 partner,1 partner,,conservative,strong disagree,agree,cant choose,agree,agree,not agree/dsagre,agree,disagree,strong disagree,yes,6,,,somewhat likely,very unlikely,somewhat likely,strong disagree,strong disagree,strong disagree,not agree/dsagre,somewhat likely,mixed,mixed,mixed,mixed,strong disagree,strong disagree,strong disagree,agree,agree,agree,not agree/dsagre,mixed,no,white,w  sou central,w  sou  central,"yes, in relationship",protestant,protestant,,,,50000 to 250000,stongly agree,dk,46.700001,male,not at all,exclusively female,exclusively female,na,"suburb, 12 lrgst",,yes,no,no,no,agree,agree,yes immed reltve,agree,disagree,agree,vignette a,1,,,no,very unlikely,very unlikely,very unlikely,mixed,,9,working parttime,"suburb, lrg city",Man,South
27,no,,no,no,no,no,,no,75,yes,every week,yes,0,middle class,1923,,only some,,high school,disagree,,agree,disagree,disagree,disagree,disagree,agree,disagree,agree,agree,uncertain,agree,uncertain,uncertain,agree,uncertain,disagree,disagree,disagree,no,dk,12,moderate,moderate,,,good,yes covered,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,,no,,widowed,too little,,too little,,dont know,0,0,dont know,no partners,no partners,strong republican,moderate,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,2,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,somewht unlikely,somewhat likely,somewht unlikely,somewht unlikely,somewht unlikely,disagree,agree,agree,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,somewht unlikely,,white,w  sou central,w  sou  central,,catholic,catholic,,,not very strong,city gt 250000,dont know,,73.300003,female,not at all,,,na,"suburb, 12 lrgst",,,,,,not agree/dsagre,not agree/dsagre,dont know,agree,not agree/dsagre,agree,vignette e,1,,no,no,very unlikely,very unlikely,very unlikely,very unlikely,,,retired,"suburb, lrg city",Woman,South
28,yes,,yes,yes,yes,yes,,yes,36,,once a month,yes,0,working class,1962,,only some,only some,high school,strongly agree,strong disagree,agree,disagree,uncertain,agree,disagree,agree,agree,agree,agree,strong disagree,agree,agree,disagree,disagree,disagree,strong disagree,agree,,,strong disagree,15,moderate,moderate,,,excellent,no not covered,disagree,disagree,disagree,disagree,disagree,disagree,disagree,agree,,yes,,never married,,too little,,too much,agree,0,0,agree,no partners,no partners,independent,moderate,agree,strong disagree,agree,agree,agree,agree,agree,cant choose,agree,yes,2,3,,somewht unlikely,very unlikely,somewhat likely,strong disagree,strong disagree,strong disagree,strong disagree,somewhat likely,somewht unlikely,somewht unlikely,very unlikely,somewht unlikely,dont know,strongly agree,dont know,dont know,not agree/dsagre,not agree/dsagre,disagree,mixed,,white,w  sou central,w  sou  central,,protestant,protestant,,,not very strong,city gt 250000,agree,refused,38.400002,female,not at all,,,na,"suburb, 12 lrgst",hardly ever,,,,,agree,strong disagree,yes immed reltve,dont know,stongly agree,agree,vignette f,agree,,,no,dont know,dont know,dont know,dont know,almost all,10,working fulltime,"suburb, lrg city",Woman,South
